site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
25,conv_bn_conv,"['layer3.5.conv2.weight', 'layer3.5.bn2.weight']",256,l2_norm,0,1.0,0,1.0,54,0.7890625,54,0.7890625,172,0.328125,resnet101
26,conv_bn_conv,"['layer3.6.conv1.weight', 'layer3.6.bn1.weight']",256,l2_norm,0,1.0,0,1.0,44,0.828125,44,0.828125,193,0.24609375,resnet101
27,conv_bn_conv,"['layer3.6.conv2.weight', 'layer3.6.bn2.weight']",256,l2_norm,0,1.0,0,1.0,57,0.77734375,57,0.77734375,162,0.3671875,resnet101
28,conv_bn_conv,"['layer3.7.conv1.weight', 'layer3.7.bn1.weight']",256,l2_norm,0,1.0,0,1.0,74,0.7109375,74,0.7109375,197,0.23046875,resnet101
29,conv_bn_conv,"['layer3.7.conv2.weight', 'layer3.7.bn2.weight']",256,l2_norm,0,1.0,0,1.0,53,0.79296875,53,0.79296875,180,0.296875,resnet101
30,conv_bn_conv,"['layer3.8.conv1.weight', 'layer3.8.bn1.weight']",256,l2_norm,0,1.0,0,1.0,52,0.796875,52,0.796875,169,0.33984375,resnet101
31,conv_bn_conv,"['layer3.8.conv2.weight', 'layer3.8.bn2.weight']",256,l2_norm,0,1.0,0,1.0,40,0.84375,40,0.84375,170,0.3359375,resnet101
32,conv_bn_conv,"['layer3.9.conv1.weight', 'layer3.9.bn1.weight']",256,l2_norm,0,1.0,0,1.0,47,0.81640625,47,0.81640625,190,0.2578125,resnet101
33,conv_bn_conv,"['layer3.9.conv2.weight', 'layer3.9.bn2.weight']",256,l2_norm,0,1.0,0,1.0,44,0.828125,44,0.828125,166,0.3515625,resnet101
34,conv_bn_conv,"['layer3.10.conv1.weight', 'layer3.10.bn1.weight']",256,l2_norm,0,1.0,0,1.0,65,0.74609375,65,0.74609375,189,0.26171875,resnet101
35,conv_bn_conv,"['layer3.10.conv2.weight', 'layer3.10.bn2.weight']",256,l2_norm,0,1.0,0,1.0,47,0.81640625,47,0.81640625,166,0.3515625,resnet101
36,conv_bn_conv,"['layer3.11.conv1.weight', 'layer3.11.bn1.weight']",256,l2_norm,0,1.0,0,1.0,57,0.77734375,57,0.77734375,193,0.24609375,resnet101
37,conv_bn_conv,"['layer3.11.conv2.weight', 'layer3.11.bn2.weight']",256,l2_norm,0,1.0,0,1.0,46,0.8203125,46,0.8203125,159,0.37890625,resnet101
38,conv_bn_conv,"['layer3.12.conv1.weight', 'layer3.12.bn1.weight']",256,l2_norm,0,1.0,0,1.0,60,0.765625,60,0.765625,201,0.21484375,resnet101
39,conv_bn_conv,"['layer3.12.conv2.weight', 'layer3.12.bn2.weight']",256,l2_norm,0,1.0,0,1.0,46,0.8203125,46,0.8203125,160,0.375,resnet101
40,conv_bn_conv,"['layer3.13.conv1.weight', 'layer3.13.bn1.weight']",256,l2_norm,0,1.0,0,1.0,69,0.73046875,69,0.73046875,217,0.15234375,resnet101
41,conv_bn_conv,"['layer3.13.conv2.weight', 'layer3.13.bn2.weight']",256,l2_norm,0,1.0,0,1.0,42,0.8359375,42,0.8359375,193,0.24609375,resnet101
42,conv_bn_conv,"['layer3.14.conv1.weight', 'layer3.14.bn1.weight']",256,l2_norm,0,1.0,0,1.0,74,0.7109375,74,0.7109375,206,0.1953125,resnet101
43,conv_bn_conv,"['layer3.14.conv2.weight', 'layer3.14.bn2.weight']",256,l2_norm,0,1.0,0,1.0,52,0.796875,52,0.796875,200,0.21875,resnet101
44,conv_bn_conv,"['layer3.15.conv1.weight', 'layer3.15.bn1.weight']",256,l2_norm,0,1.0,0,1.0,83,0.67578125,83,0.67578125,219,0.14453125,resnet101
45,conv_bn_conv,"['layer3.15.conv2.weight', 'layer3.15.bn2.weight']",256,l2_norm,0,1.0,0,1.0,77,0.69921875,77,0.69921875,210,0.1796875,resnet101
